source,contest,severity,title,description_excerpt,keyword_matched
sherlock,USSD - Autonomous Secure Dollar,High,"Uniswap v3 pool token balance proportion does not necessarily correspond to the price, and it is easy to manipulate.","## Summary  `getSupplyProportion()` retrieves Uniswap v3 pool balances, but the proportion of pool tokens doesn't always correspond to the price. If `ownval` is less than `1e6 - threshold`, `USSDamount` may be lower than `DAIamount`, causing L97 `USSDamount - DAIamount` to revert due to underflow. Proportion can be easily manipulated, which can be exploited by attackers.  ## Vulnerability Detail  `getSupplyProportion()` retrieves the balances of the Uniswap v3 pool. However, due to the different",balance+stale/race; price+oracle+swap
sherlock,Flat Money,High,Malicious keepers can manipulate the price when executing an order,"## Summary  Malicious keepers can manipulate the price when executing an order by selecting a price in favor of either the LPs or long traders, leading to a loss of assets to the victim's party.  ## Vulnerability Detail  When the keeper executes an order, it was understood from the protocol team that the protocol expects that the keeper must also update the Pyth price to the latest one available off-chain. In addition, the [contest page](https://github.com/sherlock-audit/2023-12-flatmoney-xiaomi",price+oracle+swap
sherlock,Flayer,High,````UniswapImplementation.beforeSwap()```` is  vulnerable to price manipulation attack,The protocol has acknowledged this issue.,price+oracle+swap
sherlock,Notional Exponent,High,Incorrect assumption that one (1) Pendle Standard Yield (SY) token is equal to one (1) Yield Token when computing the price in the oracle,"This issue has been acknowledged by the team but won't be fixed at this time.   ## Discussion  **T-Woodward**  This is an issue that will be managed through proper parameter choices, not code.  All SY tokens give you the option to redeem to a matching token (i.e. rsETH SY -> rsETH). If redeeming to the matching token, there will not be a fee or a trade and one SY will equal one yield token.  So we'll just make sure to always redeem to the matching token and double check the SY's redemption funct",price+oracle+swap
sherlock,Astaria,High,A malicious lien owner can exploit a reentrancy to steal LP funds,## Summary  A malicious lien owner can exploit a reentrancy in auctions to have their liens removed without making their payments and thus stealing LP funds.  ## Vulnerability Detail  A malicious lien owner can exploit a reentrancy from the callback to `decreaseYIntercept()` in `endAuction()` to call `cancelAuction()` and then take a new loan whose lien token is removed when control returns back to `endAuction()`.  ## Impact  PoC: https://gist.github.com/lucyoa/901a7713fded73293b5e4f9452344c5a  ,reentrancy+callback/hook
sherlock,Blueberry Update,High,`BalancerPairOracle` can be manipulated using read-only reentrancy,"## Summary  `BalancerPairOracle.getPrice` makes an external call to `BalancerVault.getPoolTokens` without checking the Balancer Vault's reentrancy guard. As a result, the oracle can be trivially manipulated to liquidate user positions prematurely.  ## Vulnerability Detail  In February, the Balancer team disclosed a read-only reentrancy vulnerability in the Balancer Vault. The detailed disclosure can be found [here](https://forum.balancer.fi/t/reentrancy-vulnerability-scope-expanded/4345). In sho",balance+stale/race; reentrancy+callback/hook
sherlock,Notional Exponent,High,Cross-contract reentrancy allows YIELD_TOKEN theft for the `GenericERC4626` `WithdrawalRequestManager` variant,"## Description Since the `WithdrawalRequestManager` allows `onlyVault` operations for multiple different strategy ""vaults"",..  A combination of a default reentrancy + cross-contract reentrancy is possible...  ...Through which `YIELD_TOKEN`s can be drained from the `WithdrawalRequestManager`...  ...---> to the yield strategy where the strategy's `depositAsset != WithdrawalRequestManager.STAKE_TOKEN`.  This way, the strategy will record a higher surplus (aka delta) of `YIELD_TOKEN`s in the current",reentrancy+callback/hook
code4rena,Sandclock (2022-01),High,No reentrancy guard on mint() function with state updates after callback ,# Handle  jayjonah8   # Vulnerability details  ## Impact In Depositors.sol the mint() function eventually calls _safeMint() which has a callback that can be used to reenter the function.  Since state updates are made after the call to _safeMint this is dangerous because the function can be reentered multiple times while the deposits are only updated once.   ## Proof of Concept https://github.com/code-423n4/2022-01-sandclock/blob/main/sandclock/contracts/vault/Depositors.sol#L53  ## Tools Used Ma,reentrancy+callback/hook
code4rena,Sandclock (2022-01),High,sponsor() function in open to reentrancy attacks,# Handle  jayjonah8   # Vulnerability details  ## Impact In Vault.sol the sponsor() function does not have a reentrancy guard allowing an attacker to reenter the function because the depositors.mint() function has as callback to the msg.sender.  Since there are state updates after the call to depositors.mint() function this is especially dangerous.  An attacker can make it so the totalSponsored amount is only updated once after calling mint() several times since the update takes place after the ,reentrancy+callback/hook
code4rena,Sandclock (2022-01),High,deposit() function is open to reentrancy attacks,# Handle  jayjonah8   # Vulnerability details  ## Impact In Vault.sol the deposit() function is left wide open to reentrancy attacks.  The function eventually calls _createDeposit() => _createClaim() which calls depositors.mint() which will then mint an NFT.  When the NFT is minted the sender will receive a callback which can then be used to call the deposit() function again before execution is finished.  An attacker can do this minting multiple NFT's for themselves.  claimers.mint() is also cal,reentrancy+callback/hook
code4rena,Xdefi (2022-01),High,Reentrancy allows attacker to lock the funds deposited in the contract,"# Handle  tqts   # Vulnerability details  ## Impact It is possible for attackers to exploit a reentrancy issue in `_lock(uint256,uint256,address)` that would allow them to lock all funds deposited prior to the attack.  ## Proof of Concept The problem lies in the `lock(uint256,uint256,address)` function, that transfers the `XDEFI` tokens from the caller and then calls `_lock(uint256,uint256,address)`.  When `_lock(uint256,uint256,address)` is called, it calls `_safeMint(destination_, tokenId_)`, ",reentrancy+callback/hook
code4rena,Ens (2022-07),High,NameWrapper._transferAndBurnFuses() allows reentrancy on onERC1155Received callback,"# Lines of code  https://github.com/code-423n4/2022-07-ens/blob/main/contracts/wrapper/NameWrapper.sol#L813 https://github.com/code-423n4/2022-07-ens/blob/main/contracts/wrapper/NameWrapper.sol#L524 https://github.com/code-423n4/2022-07-ens/blob/main/contracts/wrapper/NameWrapper.sol#L572   # Vulnerability details  ## Impact When calling the internal function _transferAndBurnFuses() in NameWrapper.setSubnodeOwner() or NameWrapper.setSubnodeRecord() , ERC1155Fuse._transfer() is called before `_se",reentrancy+callback/hook
code4rena,Fractional (2022-07),High,modules/Buyout.sol: reentrance vaulnerability result in proposer's eth freezing.,"# Lines of code  https://github.com/code-423n4/2022-07-fractional/blob/8f2697ae727c60c93ea47276f8fa128369abfe51/src/modules/Buyout.sol#L149   # Vulnerability details  ## Impact reentrance vaulnerability result in proposer's eth freezing.  ## Proof of Concept in function buyFractions, its logic is shown below:  ```solidity     function buyFractions(address _vault, uint256 _amount) external payable {         // Reverts if address is not a registered vault         (address token, uint256 id) = IVau",reentrancy+callback/hook
code4rena,Non Fungible (2022-11),High,Reentrancy attack can be used to externally call the `_execute` function in the Exchange contract,# Lines of code  https://github.com/code-423n4/2022-11-non-fungible/blob/main/contracts/Exchange.sol#L216 https://github.com/code-423n4/2022-11-non-fungible/blob/main/contracts/Exchange.sol#L238   # Vulnerability details  # Reentrancy attack can be used to externally call the `_execute` function in the Exchange contract  The `_execute` function present in the Exchange contract is intended to be called only internally using `delegatecall` by the `execute` and `bulkExecute` functions. This is achi,reentrancy+callback/hook
sherlock,Blueberry,High,IchiLpOracle is extemely easy to manipulate due to how IchiVault calculates underlying token balances,"## Summary  `IchiVault#getTotalAmounts` uses the `UniV3Pool.slot0` to determine the number of tokens it has in it's position. `slot0` is the most recent data point and is therefore extremely easy to manipulate. Given that the protocol specializes in leverage, the effects of this manipulation would compound to make malicious uses even easier.  ## Vulnerability Detail  [ICHIVault.sol](https://etherscan.io/token/0x683f081dbc729dbd34abac708fa0b390d49f1c39#code#L3098)      function _amountsForLiquidi",balance+stale/race
sherlock,DODO V3,High,traceurl - miss updating pool's token balance after finishLiquidation(),"## Summary In D3Liquidation's finishLiquidation() function, update pool's token balance is missing.  ## Vulnerability Detail https://github.com/sherlock-audit/2023-06-dodo/blob/a8d30e611acc9762029f8756d6a5b81825faf348/new-dodo-v3/contracts/DODOV3MM/D3Vault/D3VaultLiquidation.sol#L145   ## Impact After finishLiquidation, there will be unequally of pool's token balance record and IERC20(token).balanceOf(pool), which will causing serious problems.  ## Tool Used Manual Review  ## Recommandation Call",balance+stale/race
code4rena,Asymmetry (2023-03),High,ERC20 tokens can be sent to derivative contracts to manipulate the balance() result,# Lines of code  https://github.com/code-423n4/2023-03-asymmetry/blob/main/contracts/SafEth/derivatives/WstEth.sol#L93-L95 https://github.com/code-423n4/2023-03-asymmetry/blob/main/contracts/SafEth/derivatives/Reth.sol#L221-L223 https://github.com/code-423n4/2023-03-asymmetry/blob/main/contracts/SafEth/derivatives/SfrxEth.sol#L122-L124   # Vulnerability details  ## Impact Function `balance()` returns the balance of the ERC20 token in the specific contract and it can be manipulated by sending ERC,balance+stale/race
code4rena,Rubicon (2023-04),High,A user can manipulate his balance of ``myBathTokenBuddy`` and then boost his earnings.,"# Lines of code  https://github.com/code-423n4/2023-04-rubicon/blob/511636d889742296a54392875a35e4c0c4727bb7/contracts/periphery/BathBuddy.sol#L139-L155   # Vulnerability details  ## Impact Detailed description of the impact of this finding. The rewards a user earned is determined based on his current balance of ``myBathTokenBuddy``. As a result, a user can temporarily raise his balance (possibly by borrowing) and thus boost his rewards.   ## Proof of Concept Provide direct links to all referenc",balance+stale/race
code4rena,Amphora (2023-07),High," Attacker can repeatedly enter the _borrow function, withdraw funds, and manipulate the contract's balance, potentially draining it of its available funds.","# Lines of code  https://github.com/code-423n4/2023-07-amphora/blob/daae020331404647c661ab534d20093c875483e1/core/solidity/contracts/core/VaultController.sol#L551 https://github.com/code-423n4/2023-07-amphora/blob/daae020331404647c661ab534d20093c875483e1/core/solidity/contracts/core/VaultController.sol#L527-L551   # Vulnerability details  ## Impact An attacker can repeatedly enter the `_borrow` function, withdraw funds, and manipulate the contract's balance, potentially draining it of its availa",balance+stale/race
code4rena,Tapioca (2023-07),High,"[HB11] `LidoEthStrategy.sol`: `currentBalance`, and therefore collateral amount can be manipulated via flash swaps","# Lines of code  https://github.com/Tapioca-DAO/tapioca-yieldbox-strategies-audit/blob/05ba7108a83c66dada98bc5bc75cf18004f2a49b/contracts/lido/LidoEthStrategy.sol#L118-L125   # Vulnerability details  ## Impact  The contract `LidoEthStrategy.sol` manages WETH tokens and deposits them to the stETH-eth pool to earn swap fees. The function `_currentBalance` calculates the total stETH backing of the strategy by doing a static call to the curve contract, and finding the total amount of WETH the held s",balance+stale/race
code4rena,Tapioca (2023-07),High,[HB01] `BalancerStrategy.sol`: `currentBalance` is manipulatable with large swaps,"# Lines of code  https://github.com/Tapioca-DAO/tapioca-yieldbox-strategies-audit/blob/05ba7108a83c66dada98bc5bc75cf18004f2a49b/contracts/balancer/BalancerStrategy.sol#L290-L297   # Vulnerability details  ## Impact  The Balancer strategy contract is used to manage positions on balancer. This contract takes takes WETH and provides single sided liquidity to the BAL-WETH pair on mainnet. however this BAL-WETH pair is 80-20 pair, with 80% weight on BAL. Thus when single sided liquidity is provided, ",balance+stale/race
code4rena,Tapioca (2023-07),High,BalancerStrategy cached withdrawable amount allows for manipulation of share pricing,"# Lines of code  https://github.com/Tapioca-DAO/tapioca-yieldbox-strategies-audit/blob/05ba7108a83c66dada98bc5bc75cf18004f2a49b/contracts/balancer/BalancerStrategy.sol#L213   # Vulnerability details  ## Impact Caching of variable withdrawable amounts as though they're fixed allows for manipulation of share pricing, giving an attacker the ability to drain the contract.  ## Proof of Concept `BalancerStrategy` caches the amount of withdrawable wrapped native tokens after each withdrawal.  ```solidi",balance+stale/race
code4rena,Dopex (2023-08),High,"the _totalCollateral variable can be manipulated by the perpetualAtlanticVault through the addProceeds and subtractLoss functions, allowing it to artificially inflate the total collateral balance. ",# Lines of code  https://github.com/code-423n4/2023-08-dopex/blob/eb4d4a201b3a75dd4bddc74a34e9c42c71d0d12f/contracts/perp-vault/PerpetualAtlanticVaultLP.sol#L245-L247   # Vulnerability details  ## Impact It could allow the vault to artificially inflate _totalCollateral and drain funds  ## Proof of Concept  https://github.com/code-423n4/2023-08-dopex/blob/eb4d4a201b3a75dd4bddc74a34e9c42c71d0d12f/contracts/perp-vault/PerpetualAtlanticVaultLP.sol#L195 https://github.com/code-423n4/2023-08-dopex/blo,balance+stale/race
sherlock,Blueberry (2023-02),High,ChainlinkAdapterOracle will return the wrong price for asset if underlying aggregator hits minAnswer,Chainlink aggregators have a built in circuit breaker if the price of an asset goes outside of a predetermined price band. If an asset experiences a huge drop in value the oracle will continue to return the minPrice instead of the actual price.,minAnswer/maxAnswer
code4rena,Moonwell (2023-07),High,No minAnswer/maxAnswer Circuit Breaker Checks while Querying Prices in getChainlinkPrice,The getChainlinkPrice function retrieves the latest round data from Chainlink. In the event that an asset market price falls below minAnswer or rises above maxAnswer the returned price would still be the boundary value instead of the actual market price.,minAnswer/maxAnswer
sherlock,USSD (2023-05),High,Risk of Incorrect Asset Pricing by StableOracle in Case of Underlying Aggregator Reaching minAnswer,If the price of a collateral asset crashes dramatically the Chainlink aggregator will return minAnswer rather than the actual collapsed price. The StableOracle contracts do not validate that the returned price is not at the min/max boundary.,minAnswer/maxAnswer
sherlock,Sentiment (2023-01),Medium,No check if Arbitrum L2 sequencer is down in Chainlink feeds,Using Chainlink in L2 chains such as Arbitrum requires checking if the sequencer is down to avoid prices from looking like they are fresh although they are not.,L2_sequencer
sherlock,Perennial V2 (2023-05),Medium,Missing Sequencer Uptime Feed check can cause unfair liquidations on Arbitrum,The ChainlinkOracle does not make use of the sequencer uptime feed to check the status of the sequencer.,L2_sequencer
sherlock,Flat Money (2023-12),Medium,No check if Base L2 sequencer is down in Chainlink feeds,The _getOnchainPrice() function does not check the Sequencer Uptime Feed to confirm the sequencer status before consuming Chainlink price data.,L2_sequencer
sherlock,USSD (2023-05),High,The price from StableOracleDAI is returned with the incorrect number of decimals,The price returned from getPriceUSD is scaled up by 1e10 resulting in 28 decimals instead of 18. The Chainlink DAI/ETH price feed returns 18 decimals but code treats it as 8.,oracle_decimals
sherlock,Debita Finance (2024-10),High,Chainlink oracle does not account for aggregator decimals making it unusable,The Debita Chainlink oracle returns the exact price without accounting for the fact that Chainlink does not always return prices in the same decimals.,oracle_decimals
sherlock,Knox Finance (2022-09),Medium,Chainlink latestRoundData might return stale or incorrect results,The function uses Chainlink latestRoundData() with no validation that answeredInRound >= roundId that updatedAt > 0 or that price > 0.,roundId_validation
sherlock,Blueberry (2023-02),High,Chainlink reported answer can be carried over and stale,The getPrice function does not check answeredInRound against the current roundId. If answeredInRound is less than roundId the answer is stale.,roundId_validation
sherlock,Blueberry Update,High,Potential flash loan attack vulnerability in getPrice function of CurveOracle,The getPrice function retrieves spot price of each token in a Curve LP pool and multiplies by virtual price. Flash loans can manipulate these values.,flash_loan_oracle
sherlock,USSD (2023-05),High,Price calculation susceptible to flashloan exploits,Contract uses uniswap slot0 price instead of TWAP price. slot0 price can be manipulated with flash loans in a single transaction.,flash_loan_oracle
code4rena,Behodler (2022-01),High,Flash loan price manipulation in purchasePyroFlan(),An attacker can use a flash loan to push the pool price to exactly the acceptable threshold forcing the protocol to accept a manipulated price.,flash_loan_oracle
sherlock,Astaria,High,Epochs can be progressed during ongoing auctions to cause LP fund loss,The currentEpoch can be progressed while having an ongoing auction which messes up liquidation logic. Uses fixed duration instead of real timestamp.,timestamp_auction
code4rena,Nouns Builder (2022-09),High,Same block.timestamp has multiple checkpoint state variables allowing vote manipulation,getPastVotes() uses binary search which returns a result if it encounters the same timestamp. Timestamps are not unique in the checkpoints array.,timestamp_manipulation
sherlock,GMX,High,User-supplied slippage for decrease orders is ignored,The user-supplied minOutputAmount parameter for controlling slippage is ignored when a user decreases their position. Infinite slippage is allowed.,sandwich_mev
sherlock,GMX,High,No slippage for withdrawal without swapping path,When user withdraws in cases without a swapping path there is no minOutputAmount enforcement meaning a MEV bot can sandwich the withdrawal.,sandwich_mev
sherlock,Optimism,High,Malicious user can finalize others withdrawal with less than specified gas limit,Transactions to execute a withdrawal can be sent with 5122 less gas than specified. A malicious user can call finalizeWithdrawalTransaction() causing silent failure.,gas_griefing
sherlock,Knox Finance,High,Unbounded loop in _previewWithdraw and _redeemMax Can Lead To DoS,Unbounded loops go through all orders in orderbook costing gas and may revert due to exceeding the block gas limit.,unbounded_loop
sherlock,OpenQ,High,Refunds can be bricked by triggering OOG in DepositManager,The DepositManager runs a for loop over an unbounded array. This array can be made large enough to exceed the block gas limit stopping refunds.,unbounded_loop
sherlock,Carapace,High,Lending pool state transition will be broken when pool is expired in late state,When a pool expires while in late state the state machine transitions incorrectly permanently locking capital.,state_transition
sherlock,Carapace,High,Protection sellers can bypass withdrawal delay mechanism,Withdrawal delay mechanism can be bypassed by creating a withdraw request in each cycle allowing front-running of default events.,state_transition
sherlock,Fair Funding (Alchemix),High,Incorrect shares accounting causes liquidations to fail,Accounting mismatch when marking claimable yield against vault shares causes failing liquidations. total_shares is not updated.,token_accounting
sherlock,GMX,High,Incorrect parameter ordering in updateTotalBorrowing,The ordering of parameters in updateTotalBorrowing() is incorrect causing internal accounting to diverge from actual balances.,token_accounting
sherlock,Astaria,High,_deleteLienPosition can be called by anyone,_deleteLienPosition is a public function without caller check. Anyone can remove any lien from any collateral.,missing_access_control
sherlock,Notional,High,Bought Token Can Be Sent To Attacker Wallet Using 0x Adaptor,Lack of recipient validation allows purchased tokens to be sent to attacker wallet. settleVaultEmergency is permissionless.,missing_access_control
sherlock,Midas,High,Malicious users can bypass the blacklist via renounceRole,Users can bypass the blacklist through OpenZeppelin renounceRole function which is unguarded.,default_admin_role
code4rena,Livepeer (2022-01),Medium,DEFAULT_ADMIN_ROLE can approve arbitrary address to spend from L1Escrow,L1Escrow approve() allows DEFAULT_ADMIN_ROLE to approve any spender for any value on any token held in escrow.,default_admin_role
sherlock,Cooler,High,Use safeTransfer consistently — return value not checked,Some tokens do not revert on failure but return false. transfer/transferFrom is used and the return value is not checked.,erc20_return_value
sherlock,Bond Options,High,All funds can be stolen from FixedStrikeOptionTeller using fee-on-transfer token,The create function records the nominal sent amount rather than the actual received amount allowing exploitation via fee-on-transfer tokens.,fee_on_transfer
sherlock,Sentiment,Medium,Balances of rebasing tokens are not properly tracked,Rebasing tokens where balanceOf() changes over time are not properly tracked. Internal accounting diverges from actual balances.,fee_on_transfer
code4rena,Asymmetry (2023-03),High,Front-running Exploit Allows Stakers to Bypass PauseUnstaking Mechanisms,A staker may bypass pause control by front-running the pause() transaction with a requestUnstake() call.,pausable_bypass
sherlock,GMX,Medium,When underlying collateral tokens are paused orders cannot be canceled,When underlying collateral tokens are paused orders cannot be canceled and will be executed immediately after unpause.,pausable_bypass
sherlock,TITLES Protocol,Medium,Incompatibility of Upgradeability Pattern in TitlesGraph Contract,TitlesGraph is designed as UUPSUpgradeable but instantiated via constructor. Implementation is uninitialized and vulnerable to takeover.,init_frontrun
code4rena,Rigor (2022-08),High,Community escrow allows for signature replay,checkSignatureValidity() does not utilize nonces and can be tricked by replaying signatures from earlier calls.,sig_replay
sherlock,Harpie,Medium,Cross-chain replay attacks are possible with changeRecipientAddress(),There is no chainId in the signed data for changeRecipientAddress(). An attacker can replay the action on the correct chain.,sig_replay
